,id,name,price,top_tags
167,A000000129009,에스트라 테라크네365 수딩에멀젼 120ml,"31,500",복합성 웜톤 잡티 각질 트러블 모공 
168,A000000137922,프리메라 알파인베리워터리 크림 50ML,"31,450",복합성 웜톤 잡티 미백 트러블 주름 
169,A000000139562,스킨푸드 로열허니 착한 수분 크림,"10,500",복합성 웜톤 미백 주름 민감성 모공 
170,A000000015487,유리아쥬 제모스 끄렘 200ml 기획,"28,800",건성 웜톤 각질 주름 트러블 블랙헤드 
171,A000000141712,DR다룸 베리어 크림 75ml,"28,000",복합성 쿨톤 블랙헤드 모공 트러블 잡티 
172,A000000122075,벨라수 기린 넥프팅 크림 45g,"13,900",건성 웜톤 민감성 모공 주름 각질 
173,A000000138576,한율 어린쑥수분진정크림 50ml,"27,200",복합성 쿨톤 잡티 각질 주름 트러블 
174,A000000118196,메디큐브 블루 이레이징 크림 50ml,"26,600",복합성 쿨톤 민감성 트러블 모공 탄력 
175,A000000016731,리얼베리어 익스트림 크림 50ml,"26,600",복합성 웜톤 잡티 트러블 민감성 모공 
176,A000000127464,식물나라 제주탄산수셔벗크림100ml,"8,820",복합성 웜톤 모공 트러블 잡티 미백 
177,A000000125012,유리아쥬 오 떼르말 워터 젤 크림 40ml,"25,200",건성 쿨톤 미백 블랙헤드 피지과다 민감성 
178,A000000016154,듀크레이 케라크닐 리페어 속당김 보습 크림 50ml,"24,000",복합성 쿨톤 잡티 미백 주름 각질 
179,A000000135955,메이크프렘 리프팅 미 리포좀 퍼밍 크림50ml,"23,800",복합성 웜톤 모공 트러블 미백 주름 
180,A000000142663,유세린 우레아 리페어 리치 크림 50ml 기획 (+더머토 클린 토너 200ml),"26,200",복합성 쿨톤 잡티 미백 주름 각질 
181,A000000128929,유리아쥬 톨레덤 수딩 크림 50ml 기획,"23,100",복합성 쿨톤 트러블 모공 각질 블랙헤드 
182,A000000129089,보타닉힐 보 더마 인텐시브 시카 판테놀 블레미쉬 크림70mL(+토너20ml),"22,400",복합성 웜톤 트러블 모공 민감성 블랙헤드 
183,A000000142189,듀크레이 덱시안 피부장벽 크림 200ml,"27,000",복합성 쿨톤 잡티 미백 주름 각질 
184,A000000112127,바이오더마 센시비오 포르테 40ml,"24,300",복합성 웜톤 트러블 잡티 각질 민감성 
185,A000000139551,스킨푸드 유자씨 잡티 맑음 크림,"24,000",복합성 쿨톤 잡티 미백 주름 각질 
186,A000000118937,라로슈포제 똘러리앙 센시티브 리치 크림,"21,250",복합성 쿨톤 잡티 미백 주름 각질 
187,A000000136389,식물나라 티트리시카크림30ml,"3,000",복합성 웜톤 민감성 잡티 트러블 미백 
188,A000000126471,유세린 울트라 센시티브 리페어 젤 50ml,"21,000",복합성 쿨톤 잡티 미백 주름 각질 
189,A000000112402,케어존 닥터솔루션 더마 밀크-히알루로닉 크림 기획 40ml,"23,800",복합성 웜톤 트러블 모공 잡티 주름 
190,A000000141028,셀퓨전씨 포스트 알파 아쿠아포린 크림 60ml,"20,160",복합성 웜톤 모공 트러블 잡티 블랙헤드 
191,A000000016747,라끄베르 헬로 히알루론 올인원 크림 100ml 1+1 기획,"19,900",복합성 쿨톤 잡티 모공 주름 탄력 
192,A000000124181,유세린 울트라 센시티브 인스턴트 수딩 크림 50ml,"19,200",건성 웜톤 트러블 민감성 홍조 잡티 
193,A000000113158,리얼베리어 아쿠아 수딩 젤 크림 50ml,"21,000",건성 웜톤 잡티 주름 모공 탄력 
194,A000000141722,VT 슈퍼 히알론 크림 55ML,"18,200",복합성 쿨톤 잡티 미백 주름 각질 
195,A000000132179,웰라쥬 리얼 에이치에이 바이오 리프트 아이크림 45ml,"18,000",건성 쿨톤 미백 블랙헤드 주름 피지과다 
196,A000000139012,더포션스 크림 믹서,"17,600",복합성 쿨톤 잡티 미백 주름 각질 
197,A000000121276,싸이닉 슈퍼 모이스트 페이셜 크림 80g,"15,000",복합성 웜톤 모공 트러블 잡티 주름 
198,A000000120217,썸바이미 로즈 인텐시브 톤업크림 50ml,"12,900",복합성 웜톤 블랙헤드 모공 홍조 트러블 
199,A000000111988,코스알엑스 어드벤스드 스네일 92 올인원 크림 100ml,"12,200",복합성 웜톤 주름 각질 트러블 모공 
200,A000000120889,DMCK 클린 아크 크림 30g,"12,000",복합성 쿨톤 트러블 잡티 각질 블랙헤드 
201,A000000120193,썸바이미 V10 비타민 톤업크림 50ml,"12,000",복합성 쿨톤 민감성 미백 각질 트러블 
202,A000000129085,식물나라 허니유자윤기크림100ml,"9,720",복합성 웜톤 모공 홍조 탄력 블랙헤드 
